Pregunta,positive
¿Exige Quickfood la verificación del correo electrónico para todos los usuarios al registrarse?, Quickfood requiere la verificación del correo electrónico para todos los usuarios como parte del proceso de registro.
¿Puedo formar parte de Quickfood como repartidor?, Si pero deberás registrarte primero
¿Qué sucede  un evento se suspende después de realizar una precompra en Quickfood?,En caso de suspenón de un evento Quickfood ofrece reembolsos totales a los usuarios que hayan efectuado precompras para pedidos.
¿Puedo cancelar una precompra  el evento se cancela antes de su inicio en Quickfood?, Quickfood permite la cancelación de precompras en caso de cancelación de un evento antes de su inicio ofreciendo reembolsos completos.
¿Quickfood emite algún tipo de reembolso  un evento se cancela y ya has efectuado una precompra?,En caso de cancelación de un evento Quickfood reembolsa íntegramente las precompras realizadas por los usuarios.
¿Es gratis la aplicación Quickfood?, Es gratis para consumidores pero si lo quieres para tus eventos deberas pagar un monto.
¿Qué pasa si el evento se suspende mientras mi pedido está en proceso de entrega a través de Quickfood?,Te devolveremos el dinero de tu pedido
¿Se ofrece alguna alternativa  el evento se pospone después de realizar una precompra en Quickfood?,Si un evento se pospone Quickfood permite la modificación de las precompras para adaptarse a la nueva fecha del evento.
¿Puedo utilizar Quickfood desde Google?,Si puedes pagar con Débito mediante Mercado Pago
¿Puedo cambiar mi pedido  el evento se reprograma en Quickfood?,Quickfood permite la modificación de pedidos en caso de reprogramación del evento para ajustarse a la nueva fecha del evento.
¿Qué sucede  el evento se reprograma y ya tengo mi pedido listo para su entrega en Quickfood?,En caso de reprogramación del evento Quickfood cancela la entrega previamente programada y reembolsa a los usuarios por los pedidos cancelados.
¿Puedo obtener un reembolso  el evento se cancela después de haber recogido mi pedido en Quickfood?, Quickfood reembolsa a los usuarios por los pedidos que hayan do recogidos  el evento se cancela después de haber retirado el pedido.
¿Se reembolsa el costo total  el evento se suspende y  he retirado mi pedido en Quickfood?, Quickfood efectúa reembolsos completos por pedidos  retirados en caso de suspenón del evento.
¿Se ofrecen créditos por precompras en caso de suspenón de un evento en Quickfood?, Quickfood proporciona créditos equivalentes a precompras para ser utilizados en futuros eventos  u se suspende.
¿Cuáles son las medidas de seguridad implementadas por Quickfood para proteger la información del usuario?,Quickfood emplea medidas de encriptación avanzadas y protocolos de seguridad para resguardar la información del usuario garantizando la confidencialidad de los datos.
¿Se proporciona soporte técnico a los usuarios en caso de problemas con la aplicación Quickfood?, Quickfood cuenta con un equipo de soporte técnico disponible para resolver cualquier inconveniente o inquietud de los usuarios.
¿Qué tipos de eventos son cubiertos por Quickfood para realizar pedidos?,Quickfood abarca una amplia gama de eventos desde festivales mavos hasta eventos corporativos permitiendo a los usuarios realizar pedidos en diversas ocaones.
¿Cuál es el proceso de registro para los distintos tipos de usuarios en Quickfood?,El proceso de registro varía según el tipo de usuario: los Consumidores deben estar dentro del evento determinado mientras que los Productores y Encargados deben proporcionar documentación legal para validar su participación en la aplicación.
¿Existen restricciones geográficas para el uso de Quickfood?,Quickfood está disponible para usuarios en diferentes ubicaciones geográficas n restricciones específicas permitiendo acceder a la aplicación desde múltiples regiones.
¿Qué sucede si un usuario olvida su contraseña en Quickfood?,En caso de olvido de contraseña Quickfood ofrece un proceso seguro de recuperación de contraseña mediante la verificación del correo electrónico del usuario.
¿Se requiere el uso de ubicación para realizar pedidos en Quickfood?, Quickfood requiere el acceso a la ubicación para que los usuarios puedan realizar pedidos precisos y contextualizados en eventos específicos.
¿Se permite realizar pagos en efectivo en Quickfood?,Quickfood solo admite pagos electrónicos a través de métodos como Mercado Pago excluyendo la opción de pagos en efectivo para transacciones.
¿Qué medidas toma Quickfood en caso de incumplimiento por parte de los Repartidores?,En caso de incumplimiento por parte de los Repartidores Quickfood toma medidas disciplinarias incluyendo advertencias o la suspenón de su cuenta de Repartidor.
¿Se permite el acceso a múltiples eventos al mismo tiempo en Quickfood?, Quickfood permite acceder y realizar pedidos en varios eventos multáneamente ofreciendo una experiencia versátil a los usuarios.
